Target_genes	ELK1|Average	SRX2424218|A549	SRX2424219|A549	SRX4637892|Dermal_fibroblast	SRX4637894|Dermal_fibroblast	SRX150425|GM12878	SRX028646|HeLa	SRX150406|HeLa	SRX10475061|Hep_G2	SRX10475062|Hep_G2	SRX2424280|IMR-90	SRX2424281|IMR-90	SRX186625|K-562	SRX2423865|MCF-7	SRX2423866|MCF-7	STRING
MAP3K14	1611.285714	657	710	0	0	1951	2591	1659	1417	1942	622	428	1919	4922	3740	0
EGR1	1316.285714	578	522	0	0	1707	2272	1579	1058	1443	463	295	1426	3940	3145	0
FAM32A	1153.571429	184	183	0	0	1992	2067	1632	576	1104	259	78	1993	3653	2429	0
IRF3	1111.785714	408	419	0	0	1943	1457	1572	1114	1475	259	83	1926	3152	1757	0
BCL2L12	1111.785714	408	419	0	0	1943	1457	1572	1114	1475	259	83	1926	3152	1757	0
ZNF408	929.000000	93	113	0	0	1947	1607	1566	286	403	211	103	1697	2672	2308	0
ARHGAP1	929.000000	93	113	0	0	1947	1607	1566	286	403	211	103	1697	2672	2308	0
MIDEAS	843.642857	149	130	0	0	1408	1086	1318	348	663	169	85	1158	3147	2150	0
TADA3	809.000000	0	74	0	0	1268	1500	1120	140	134	114	69	1266	3365	2276	0
ARPC4-TTLL3	809.000000	0	74	0	0	1268	1500	1120	140	134	114	69	1266	3365	2276	0
ARPC4	809.000000	0	74	0	0	1268	1500	1120	140	134	114	69	1266	3365	2276	0
NDUFS5	797.928571	269	123	0	0	1980	1873	1576	0	130	404	288	0	2720	1808	0
RPL24	732.000000	0	0	0	0	1466	1493	1235	229	605	112	0	976	2265	1867	0
MCL1	654.357143	191	193	0	0	1607	709	1257	291	438	250	0	1386	1945	894	0
HOMER1	641.928571	0	0	0	0	1850	470	1338	374	643	138	0	1202	1574	1398	0
NCOA7	622.285714	0	0	0	0	1620	1573	1390	382	793	81	0	559	1123	1191	0
SF3B6	612.428571	0	0	0	0	1750	615	1417	381	1060	0	0	624	1720	1007	0
FAM228B	612.428571	0	0	0	0	1750	615	1417	381	1060	0	0	624	1720	1007	0
FOS	601.642857	63	64	0	0	1335	437	1055	333	365	0	0	911	2355	1505	401
MAP3K7	576.285714	0	0	0	0	1646	594	974	260	422	142	108	933	2055	934	0
SIRT6	572.714286	0	0	0	0	1616	771	1294	193	500	153	0	1135	1731	625	0
ANKRD24	572.714286	0	0	0	0	1616	771	1294	193	500	153	0	1135	1731	625	0
LDAH	561.357143	0	0	0	0	1210	492	1114	582	992	0	0	785	1879	805	0
EGR2	559.357143	133	0	0	0	1425	612	1186	108	254	0	0	1494	1888	731	0
ING4	558.642857	0	0	0	0	1360	730	958	123	227	0	99	921	2210	1193	0
TCTE3	549.285714	0	0	0	0	1261	409	984	318	791	0	0	1110	1912	905	0
ERMARD	549.285714	0	0	0	0	1261	409	984	318	791	0	0	1110	1912	905	0
SNRPE	519.142857	0	0	0	0	1256	627	1438	255	422	0	0	945	1814	511	0
RPL32	516.857143	0	0	0	0	1044	709	1226	76	172	0	0	706	2110	1193	0
ZNF548	514.500000	0	0	0	0	1293	1091	895	126	279	112	0	547	1595	1265	0
MEGF8	513.714286	124	0	0	0	1979	493	790	100	211	65	0	901	1769	760	0
SCNM1	501.500000	0	0	0	0	1513	591	1181	190	442	0	0	697	1759	648	0
LYSMD1	501.500000	0	0	0	0	1513	591	1181	190	442	0	0	697	1759	648	0
ZNF165	491.214286	0	0	0	0	1788	649	1220	737	774	0	0	947	762	0	0
MRPS23	486.642857	0	0	0	0	1176	423	1239	211	600	0	0	414	2094	656	0
C5orf51	469.000000	0	0	0	0	1219	819	1432	0	117	0	0	513	1553	913	0
NR4A1	460.357143	153	116	0	0	1107	483	905	129	375	121	0	642	1323	1091	0
MTRNR2L2	458.571429	147	328	0	0	798	691	1038	846	1137	168	299	968	0	0	0
SND1	453.785714	0	0	0	0	1035	863	596	0	167	0	121	658	1665	1248	0
PNN	451.142857	0	0	0	0	1358	594	870	152	433	0	0	617	1507	785	0
ATG101	445.714286	97	0	0	0	1406	550	970	241	299	0	0	832	1466	379	0
TUT7	439.500000	163	0	0	0	1139	252	821	231	491	55	0	666	1578	757	0
MTMR4	427.357143	0	0	0	0	784	430	627	0	191	0	0	440	2709	802	0
SURF6	427.071429	0	0	0	0	1149	473	1304	280	490	0	0	697	1016	570	0
SEC14L1	421.714286	0	0	0	0	1195	581	1027	232	595	0	0	535	1368	371	0
DDX5	420.357143	0	0	0	0	956	337	695	194	340	0	0	548	2140	675	0
LENG8	419.357143	0	0	0	0	1523	250	786	180	438	0	0	616	1393	685	0
SNRPB2	416.000000	0	0	0	0	1283	182	975	413	627	130	0	719	1139	356	0
SKIV2L	412.285714	0	0	0	0	857	505	803	130	233	0	0	702	1841	701	0
NELFE	412.285714	0	0	0	0	857	505	803	130	233	0	0	702	1841	701	0
LRRC8A	409.428571	0	0	0	0	888	522	1246	182	213	0	0	776	1323	582	0
KYAT1	409.428571	0	0	0	0	888	522	1246	182	213	0	0	776	1323	582	0
MTRNR2L8	408.214286	204	394	0	0	817	931	798	641	800	185	175	770	0	0	0
STOML2	401.142857	0	0	0	0	1434	429	1053	177	451	92	0	706	889	385	0
VMP1	399.571429	0	0	0	0	672	398	728	170	311	0	0	310	2235	770	0
PTRH2	399.571429	0	0	0	0	672	398	728	170	311	0	0	310	2235	770	0
CHERP	396.714286	0	0	0	0	1126	557	1155	0	195	0	0	621	1498	402	0
RAB11B	393.571429	0	0	0	0	1683	426	1200	0	227	0	0	1243	576	155	0
FHL2	392.857143	94	0	0	0	397	531	743	0	0	115	0	715	1731	1174	0
