Target_genes	ELK4|Average	SRX065548|293	SRX065549|293	SRX150669|293	SRX644407|DU_145	SRX028644|HeLa	SRX028645|HeLa	SRX150431|HeLa	SRX13007931|Hep_G2	SRX13007932|Hep_G2	STRING
MAP3K14	1417.777778	3358	470	531	478	1817	2434	2820	0	852	0
EGR1	1250.111111	2793	478	442	549	1581	2149	2456	0	803	0
EGR2	1061.111111	2885	504	488	379	1101	1646	2048	0	499	0
IRF3	925.333333	1265	343	434	139	1078	2025	2379	0	665	0
BCL2L12	925.333333	1265	343	434	139	1078	2025	2379	0	665	0
MIDEAS	782.444444	1827	181	333	460	728	1321	1739	0	453	0
ZNF408	774.000000	877	209	354	180	1249	1752	2121	0	224	0
ARHGAP1	774.000000	877	209	354	180	1249	1752	2121	0	224	0
MTRNR2L8	749.666667	518	414	447	719	1141	1125	1340	577	466	0
MTRNR2L2	657.111111	314	476	420	777	785	637	940	711	854	0
SCNM1	614.222222	497	102	138	0	1039	1400	1905	119	328	0
LYSMD1	614.222222	497	102	138	0	1039	1400	1905	119	328	0
SURF6	592.888889	823	0	139	0	1126	938	1723	0	587	0
TADA3	582.666667	864	204	254	0	854	1190	1514	0	364	0
ARPC4-TTLL3	582.666667	864	204	254	0	854	1190	1514	0	364	0
ARPC4	582.666667	864	204	254	0	854	1190	1514	0	364	0
FOS	546.000000	1507	182	227	319	556	661	982	0	480	0
RPL32	530.777778	357	118	175	0	652	1564	1764	0	147	0
SIRT6	515.333333	559	0	114	0	913	1116	1617	0	319	0
ANKRD24	515.333333	559	0	114	0	913	1116	1617	0	319	0
NR1H2	486.333333	166	0	0	0	899	1349	1778	0	185	0
SF3B6	485.000000	822	143	183	234	559	852	1244	0	328	0
FAM228B	485.000000	822	143	183	234	559	852	1244	0	328	0
FAM32A	483.111111	493	103	166	0	750	1117	1566	0	153	0
NDUFS3	481.888889	181	0	0	0	762	1434	1753	0	207	0
KBTBD4	481.888889	181	0	0	0	762	1434	1753	0	207	0
MCL1	469.111111	768	70	178	174	457	937	1247	0	391	0
C5orf51	445.333333	630	97	143	229	713	765	1239	0	192	0
RAB11B	441.333333	542	147	210	252	596	885	1278	0	62	0
ULK4	441.111111	212	62	80	0	838	1001	1612	0	165	0
PNN	429.555556	599	91	157	0	653	805	1190	0	371	0
NUDT2	423.444444	1095	181	269	97	353	637	889	0	290	0
KIF24	423.444444	1095	181	269	97	353	637	889	0	290	0
RGPD2	421.222222	148	364	460	478	876	589	876	0	0	0
RGPD1	421.222222	148	364	460	478	876	589	876	0	0	0
MAP3K7	403.777778	397	0	117	0	622	834	1300	0	364	0
ING4	387.888889	308	74	122	0	718	754	1300	0	215	0
TMBIM6	379.888889	148	0	0	0	585	1085	1437	0	164	0
ZNF165	373.666667	456	0	110	0	395	874	1160	0	368	0
SRD5A1	368.888889	288	0	99	0	631	909	1268	0	125	0
ODF2	365.111111	371	0	69	81	594	747	1175	0	249	0
NCOA7	364.888889	220	81	88	82	415	936	1124	121	217	0
STOML2	362.111111	246	0	0	0	605	944	1268	0	196	0
PTGS2	358.333333	0	0	0	0	543	1217	1465	0	0	0
ADPRHL1	349.666667	0	0	0	0	747	983	1417	0	0	0
MRPL10	346.000000	273	0	0	0	675	617	1116	0	433	0
LRRC46	346.000000	273	0	0	0	675	617	1116	0	433	0
RPL37	342.222222	124	0	0	0	729	785	1237	0	205	0
CHERP	340.444444	519	0	0	0	533	760	1129	0	123	0
TBRG4	339.555556	243	0	105	127	567	635	1041	0	338	0
RPS7	335.666667	119	0	0	0	539	843	1257	0	263	0
TNPO3	335.000000	197	0	142	0	531	854	1208	0	83	0
SEC14L1	333.777778	271	0	0	0	533	803	1100	0	297	0
SYCE3	333.111111	831	89	236	92	345	449	718	0	238	0
SNRPB2	329.222222	324	0	119	0	430	604	921	110	455	0
RPL24	328.444444	173	0	125	0	566	722	1100	0	270	0
SNRPB	324.333333	357	0	146	0	480	578	974	0	384	0
ISY1-RAB43	320.222222	255	0	0	0	510	895	1222	0	0	0
ISY1	320.222222	255	0	0	0	510	895	1222	0	0	0
STYXL1	316.111111	199	0	77	0	690	598	1123	0	158	0
CCT5	315.222222	0	0	0	0	585	999	1253	0	0	0
ATPSCKMT	315.222222	0	0	0	0	585	999	1253	0	0	0
EIF2S1	315.000000	405	0	96	0	575	620	1009	0	130	0
ATP6V1D	315.000000	405	0	96	0	575	620	1009	0	130	0
EXOC2	305.666667	232	0	0	0	500	671	1050	0	298	0
RPS6	304.000000	0	0	0	0	567	796	1136	0	237	0
SNRPE	301.555556	101	0	0	0	583	735	1188	0	107	0
DDX39B	297.222222	301	70	124	0	397	678	939	0	166	0
PDCD6	294.777778	391	0	134	0	366	658	947	0	157	0
NFX1	294.666667	159	0	0	0	472	740	1085	0	196	0
TRAPPC2	294.333333	292	0	103	0	616	568	999	0	71	0
OFD1	294.333333	292	0	103	0	616	568	999	0	71	0
SKIV2L	293.888889	528	0	110	0	450	536	868	0	153	0
NELFE	293.888889	528	0	110	0	450	536	868	0	153	0
DECR1	292.111111	0	0	0	0	511	805	1164	0	149	0
ZNF696	291.333333	327	0	71	0	415	665	963	0	181	0
CALR3	291.222222	668	86	164	0	361	455	766	0	121	0
C19orf44	291.222222	668	86	164	0	361	455	766	0	121	0
LENG8	285.333333	413	62	122	154	282	517	745	0	273	0
UTP25	284.444444	0	0	0	0	674	597	1161	0	128	0
GTF2A1	283.333333	299	0	65	0	401	645	884	0	256	0
PDE12	282.111111	105	0	91	0	496	708	983	0	156	0
BCL10	282.111111	539	109	165	118	292	387	592	0	337	0
VPS72	280.555556	249	63	89	0	512	535	953	0	124	0
XPOT	278.333333	273	0	0	0	498	563	978	0	193	0
CARS1	278.111111	224	0	103	0	490	593	964	0	129	0
PPIP5K2	276.888889	134	0	0	0	370	792	1077	0	119	0
GIN1	276.888889	134	0	0	0	370	792	1077	0	119	0
UBL7	276.777778	240	0	0	0	366	816	1069	0	0	0
FBXW2	275.000000	211	0	0	0	447	630	984	0	203	0
SNAP29	274.333333	685	0	118	98	292	380	643	0	253	0
PI4KA	274.333333	685	0	118	98	292	380	643	0	253	0
METTL3	273.666667	154	0	0	0	506	661	987	0	155	0
MEGF8	271.111111	814	148	239	0	300	244	532	0	163	0
MORC3	270.222222	341	0	82	0	475	478	884	0	172	0
ENDOV	269.888889	379	0	93	0	393	503	835	0	226	0
TRAF7	266.666667	602	0	173	0	395	320	633	0	277	0
NDUFS1	266.444444	571	169	241	0	267	445	533	0	172	0
EEF1B2	266.444444	571	169	241	0	267	445	533	0	172	0
GOLGA3	265.777778	249	0	52	0	492	546	932	0	121	0
SAXO1	264.888889	159	0	0	0	466	630	1013	0	116	0
RRAGA	264.888889	159	0	0	0	466	630	1013	0	116	0
PPEF1	263.000000	348	0	113	0	359	645	902	0	0	0
SAP30BP	262.666667	241	0	113	0	399	598	909	0	104	0
RECQL5	262.666667	241	0	113	0	399	598	909	0	104	0
GSPT1	261.333333	557	0	98	0	245	556	692	0	204	0
AAR2	261.111111	0	0	0	0	353	666	982	0	349	0
CCNL1	261.000000	129	0	0	0	534	581	899	0	206	0
YARS1	259.111111	570	0	91	0	306	369	627	0	369	0
S100PBP	259.111111	570	0	91	0	306	369	627	0	369	0
SREK1	257.777778	253	0	0	0	411	597	953	0	106	0
ATG101	257.333333	200	0	0	0	503	622	991	0	0	0
RBM19	256.666667	387	0	95	113	372	327	703	0	313	0
ECH1	256.666667	367	0	146	144	391	362	682	0	218	0
USE1	255.444444	263	0	89	0	345	590	852	0	160	0
KDM5A	255.333333	244	0	159	0	412	506	794	0	183	0
CCDC77	255.333333	244	0	159	0	412	506	794	0	183	0
TUT7	254.000000	423	0	95	124	332	279	583	0	450	0
BRIX1	253.888889	0	0	0	0	405	691	1029	0	160	0
POLA1	252.666667	259	0	0	0	398	607	939	0	71	0
B3GAT3	252.000000	141	0	0	0	535	601	991	0	0	0
MRPS23	250.777778	238	0	111	0	413	427	818	0	250	0
SCAND1	249.777778	123	0	0	0	560	490	930	0	145	0
SFSWAP	249.666667	103	0	0	0	445	636	916	0	147	0
METTL18	249.000000	151	0	0	0	335	709	970	0	76	0
C1orf112	249.000000	151	0	0	0	335	709	970	0	76	0
GPR108	247.111111	438	184	204	0	247	528	623	0	0	0
COPS7A	246.555556	221	0	0	0	364	632	852	0	150	0
RPL21	246.444444	284	59	112	0	321	528	737	0	177	0
ZBTB45	245.333333	0	0	0	0	466	668	957	0	117	0
ITPRIP	244.000000	617	0	191	0	215	504	669	0	0	0
AP1S2	243.555556	676	0	131	0	285	396	588	0	116	0
GNAI3	242.888889	265	0	121	0	298	558	797	0	147	0
WFDC3	240.111111	124	0	0	0	410	469	791	0	367	0
DNTTIP1	240.111111	124	0	0	0	410	469	791	0	367	0
TRMT112	239.333333	229	0	110	0	483	527	805	0	0	0
PRDX5	239.333333	229	0	110	0	483	527	805	0	0	0
IPO4	234.666667	0	0	0	0	482	512	886	132	100	0
UBXN6	233.888889	0	0	0	0	369	681	953	0	102	0
LUC7L2	233.333333	176	0	0	0	462	473	853	0	136	0
FMC1-LUC7L2	233.333333	176	0	0	0	462	473	853	0	136	0
GRPEL2	230.888889	0	0	0	0	377	628	930	0	143	0
RPS26	229.333333	0	0	0	0	423	607	931	0	103	0
PDLIM5	229.111111	135	0	0	98	367	478	747	0	237	0
NR4A1	228.666667	415	0	136	338	0	325	352	0	492	0
EIF3D	227.444444	380	0	105	0	365	402	695	0	100	0
TAF12	226.666667	271	0	0	0	351	596	822	0	0	0
SECISBP2	225.777778	238	0	108	0	365	383	677	0	261	0
ARF4	225.000000	296	0	93	0	407	426	666	0	137	0
XKR7	224.444444	0	0	0	0	175	113	255	0	1477	0
GEMIN8	224.444444	153	0	0	0	415	498	849	0	105	0
ZDHHC6	224.222222	233	0	0	0	233	693	859	0	0	0
VTI1A	224.222222	233	0	0	0	233	693	859	0	0	0
ALG10B	222.333333	0	0	0	0	278	632	938	0	153	0
TCTE3	219.111111	186	0	0	0	336	451	769	0	230	0
ERMARD	219.111111	186	0	0	0	336	451	769	0	230	0
FMC1	218.222222	176	0	0	0	462	473	853	0	0	0
WASL	217.888889	616	0	117	0	316	299	541	0	72	0
IPPK	217.888889	216	0	0	0	286	601	858	0	0	0
CHAMP1	214.888889	264	0	0	0	356	439	665	0	210	0
ING1	214.555556	275	0	0	0	276	458	630	0	292	0
SLC4A7	214.111111	536	0	116	0	213	383	543	0	136	0
EIF1AD	211.666667	162	0	0	0	343	548	736	0	116	0
BANF1	211.666667	162	0	0	0	343	548	736	0	116	0
CRTC2	208.555556	176	0	0	0	324	567	810	0	0	0
GOLGA1	207.777778	150	0	0	0	446	457	751	0	66	0
AURKAIP1	207.555556	268	0	76	0	238	543	743	0	0	0
DR1	207.222222	109	0	0	0	444	419	774	0	119	0
SCYL3	207.111111	177	0	75	0	362	425	684	0	141	0
MTRNR2L9	207.000000	0	209	352	0	461	298	543	0	0	0
NSA2	206.444444	150	0	0	0	290	512	736	0	170	0
GFM2	206.444444	150	0	0	0	290	512	736	0	170	0
RBSN	206.111111	193	0	0	0	382	434	712	0	134	0
TOR1A	205.000000	0	0	0	0	468	433	838	0	106	0
RAD51AP2	205.000000	1083	159	185	0	0	0	0	0	418	0
MVB12A	205.000000	442	0	0	0	428	300	675	0	0	0
TMEM230	204.222222	149	0	0	0	309	305	568	0	507	0
GTF2H3	204.222222	176	0	0	0	331	470	743	0	118	0
EIF2B1	204.222222	176	0	0	0	331	470	743	0	118	0
PSRC1	203.444444	403	0	0	0	275	443	635	0	75	0
SOWAHC	203.333333	459	0	128	0	180	277	421	0	365	0
SEPTIN10	203.333333	459	0	128	0	180	277	421	0	365	0
RGL2	203.000000	228	126	141	0	261	399	577	0	95	0
ATF4	203.000000	314	0	113	0	292	473	635	0	0	0
RPL38	202.111111	152	0	0	0	342	487	723	0	115	0
NRAS	201.777778	273	0	0	0	234	475	658	0	176	0
PIGW	200.444444	179	0	0	0	319	507	675	0	124	0
MYO19	200.444444	179	0	0	0	319	507	675	0	124	0
BLOC1S5	200.333333	0	0	0	0	283	595	802	0	123	0
